id;country;state;city;zip_code;street;house_nr;additional
1;Timor-Leste;Junction Frozen;Rosiemouth;52724-0574;Kessler Court;10789;Outdoors
2;New Zealand;knowledge base Buckinghamshire;Connellyberg;45722-9052;Thompson Ridge;92969;virtual deposit
3;Taiwan;digital maroon;Tillmanmouth;81833;Glover Union;22793;synergies copying
4;Switzerland;Games;Kadenbury;26123;Cathryn Forest;32320;Mauritania
5;Philippines;robust Engineer;Franeckiberg;47312-9026;Hallie Walks;5147;encompassing
6;Tunisia;Public-key Granite;South Winona;25607-3227;Koss Squares;63230;withdrawal Solomon Islands Licensed
7;Spain;installation;New Alizehaven;36207-5823;Daniel Port;94052;disintermediate Cambridgeshire hacking
8;Pakistan;bandwidth azure;Serenitychester;26189;Junius Oval;26082;Executive
9;Venezuela;Virginia THX pink;West Maxine;88884-7868;Carolyne Cliffs;78534;New Zealand Dollar Alabama transform
10;United Kingdom;Supervisor clear-thinking;South Jean;46921-7024;Rodriguez Heights;36646;program alarm
